date,value
2022-01-03,60.07379337854009
2022-01-04,58.41643398484244
2022-01-05,55.0538492221779
2022-01-06,56.198643797367374
2022-01-07,54.34184284004787
2022-01-10,54.646988432389314
2022-01-11,55.42339111376768
2022-01-12,55.78601315002988
2022-01-13,52.94879458059374
2022-01-14,53.68001593943016
2022-01-18,51.62016739736946
2022-01-19,49.95416500597848
2022-01-20,48.12674372259864
2022-01-21,46.58031088082901
2022-01-24,46.57632522917497
2022-01-25,44.48784376245517
2022-01-26,45.38062973296133
2022-01-27,43.73056994818653
2022-01-28,45.51614188919888
2022-01-31,48.79633320047828
2022-02-01,49.099242726185736
2022-02-02,50.302909525707456
2022-02-03,47.72419290554006
2022-02-04,48.46353128736548
2022-02-07,49.278597050617776
2022-02-08,50.035870864886405
2022-02-09,53.14427860696517
2022-02-10,51.391044776119415
2022-02-11,47.56504468718968
2022-02-14,48.12971043236811
2022-02-15,52.40308544303797
2022-02-16,53.44959677419354
2022-02-17,43.95401391778464
2022-02-18,42.30473293370314
2022-02-22,41.80817216601724
2022-02-23,40.015371965824194
2022-02-24,42.37006904672697
2022-02-25,43.09978768577494
2022-02-28,43.50657460436404
2022-03-01,41.886563542614496
2022-03-02,43.21218933433246
2022-03-03,42.30940783956894
2022-03-04,40.921336687541256
2022-03-07,38.00505499982201
2022-03-08,38.293403581218186
2022-03-09,40.963297853405
2022-03-10,40.32964294613934
2022-03-11,39.33644227688584
2022-03-14,37.9658965504966
2022-03-15,40.89032074329857
2022-03-16,43.60115339432559
2022-03-17,44.081734363319214
2022-03-18,47.084475454772
2022-03-21,47.49502558271745
2022-03-22,47.12194428652643
2022-03-23,45.35947481110541
2022-03-24,49.81154778546529
2022-03-25,49.00111478774795
2022-03-28,49.93364358643144
2022-03-29,50.70691699255038
2022-03-30,48.997575779024295
2022-03-31,48.28269601684568
2022-04-01,47.26700051315626
2022-04-04,48.41363933962097
2022-04-05,45.8850176065684
2022-04-06,43.14096332302254
2022-04-07,42.78921785240831
2022-04-08,40.864339372514365
2022-04-11,38.79939102110183
2022-04-12,38.0952380952381
2022-04-13,39.28482961180509
2022-04-14,37.612795923422624
2022-04-18,38.541703528079545
2022-04-19,39.27598287264387
2022-04-20,38.00912983468498
2022-04-21,35.710747018625604
2022-04-22,34.528822675915706
2022-04-25,35.21356028167875
2022-04-26,33.24250681192692
2022-04-27,32.582540075682154
2022-04-28,35.00123854341493
2022-04-29,32.81609398768757
2022-05-02,34.56067093663408
2022-05-03,34.645975467494786
2022-05-04,35.93976457277815
2022-05-05,33.30623210432046
2022-05-06,33.007529428382085
2022-05-09,29.958641167909843
2022-05-10,31.09866025660509
2022-05-11,29.393050302216444
2022-05-12,28.58885079004209
2022-05-13,31.29484958817492
2022-05-16,30.51362720487547
2022-05-17,32.12732864362335
2022-05-18,29.93743151045429
2022-05-19,30.26618120115666
2022-05-20,29.523388451609268
2022-05-23,29.92332347569701
2022-05-24,28.618502639652828
2022-05-25,28.913302674144127
2022-05-26,32.32120224515589
2022-05-27,34.06555595794212
2022-05-31,33.81383556677154
2022-06-01,33.17638536760596
2022-06-02,35.47989858740177
2022-06-03,33.90076059397322
2022-06-06,34.02028250627608
2022-06-07,34.27381383554801
2022-06-08,33.77037305320686
2022-06-09,32.683810213655974
2022-06-10,30.73886273084108
2022-06-13,28.330617417999747
2022-06-14,28.67282274123777
2022-06-15,29.92395437256789
2022-06-16,28.24732934995407
2022-06-17,28.75248958893364
2022-06-21,29.994568169425385
2022-06-22,29.62158247325011
2022-06-23,29.377150099529327
2022-06-24,31.00850986780665
2022-06-27,30.543183052675012
2022-06-28,28.963392533467296
2022-06-29,28.253044900896608
2022-06-30,27.556807853111074
2022-07-01,26.40065442641492
2022-07-05,27.27173318748759
2022-07-06,27.574266447946087
2022-07-07,28.90103881898457
2022-07-08,28.88564654383517
2022-07-11,27.679941541796182
2022-07-12,27.65309864313761
2022-07-13,27.818748853374498
2022-07-14,28.30417970902457
2022-07-15,29.08118081176243
2022-07-18,29.844300277997466
2022-07-19,31.525046382121072
2022-07-20,33.03710575134923
2022-07-21,33.487940630760725
2022-07-22,32.13172541738857
2022-07-25,31.5844155843978
2022-07-26,30.6734693876936
2022-07-27,33.00556586264203
2022-07-28,33.36549165114369
2022-07-29,33.69758812614992
2022-08-01,34.2133580704335
2022-08-02,34.37105751389539
2022-08-03,35.05194805191619
2022-08-04,35.649350649302484
2022-08-05,35.23005565859819
2022-08-08,43.91164856856571
2022-08-09,44.321660181493264
2022-08-10,47.10307131697353
2022-08-11,46.69963560641132
2022-08-12,48.69599167094336
2022-08-15,49.53669963557319
2022-08-16,49.13846954708073
2022-08-17,48.0602883354287
2022-08-18,49.20838794230881
2022-08-19,46.78636959360541
2022-08-22,46.15009482521382
2022-08-23,46.54836087777734
2022-08-24,38.82326420196396
2022-08-25,50.65893665151256
2022-08-26,45.84155624464629
2022-08-29,44.5475049336894
2022-08-30,43.608683394341256
2022-08-31,42.55427121511136
2022-09-01,39.616259238203526
2022-09-02,38.92470051340559
2022-09-06,38.40559041642898
2022-09-07,39.12696148359487
2022-09-08,39.93719668855267
2022-09-09,41.07051099057951
2022-09-12,41.40736511561519
2022-09-13,37.48501284613189
2022-09-14,37.51929122606459
2022-09-15,36.95055730208631
2022-09-16,37.71934838525293
2022-09-19,38.245212917976566
2022-09-20,37.65647327807945
2022-09-21,38.040734366035565
2022-09-22,36.03270223752151
2022-09-23,35.903614457831324
2022-09-26,35.077452667814114
2022-09-27,35.60814687320711
2022-09-28,36.53471026965002
