date,value
2022-01-03,35.77306146875267
2022-01-04,35.159656322127624
2022-01-05,33.80995126954605
2022-01-06,33.53920458187166
2022-01-07,33.55630115614502
2022-01-10,33.580877481662085
2022-01-11,33.65674353001347
2022-01-12,34.00829183851033
2022-01-13,32.568973991833545
2022-01-14,33.13323791415409
2022-01-18,32.330256804674626
2022-01-19,32.40393551901321
2022-01-20,32.22463218402517
2022-01-21,31.629840157273843
2022-01-24,31.614486105921674
2022-01-25,29.689204486971693
2022-01-26,30.07124831506173
2022-01-27,30.36292935838572
2022-01-28,31.215570317559408
2022-01-31,31.49100777705174
2022-02-01,31.266202203495894
2022-02-02,31.74214193129077
2022-02-03,30.50571127673364
2022-02-04,30.98063836681356
2022-02-07,30.47533214516364
2022-02-08,30.833712984045487
2022-02-09,31.506960263212623
2022-02-10,30.61300936470915
2022-02-11,29.86990635282045
2022-02-14,29.866159110697147
2022-02-15,30.41994856945944
2022-02-16,30.321744588656934
2022-02-17,29.43385911271603
2022-02-18,29.15038370421312
2022-02-22,29.129123048573376
2022-02-23,28.374875979501216
2022-02-24,29.82465021158712
2022-02-25,30.10002632270732
2022-02-28,30.24986332435499
2022-03-01,29.861097049822824
2022-03-02,30.39160102860645
2022-03-03,29.95930103062533
2022-03-04,29.34577925364866
2022-03-07,28.237187923941114
2022-03-08,27.91636727959816
2022-03-09,29.196563205246274
2022-03-10,28.9020675417132
2022-03-11,28.34343659233825
2022-03-14,27.9760760223814
2022-03-15,29.05994150566963
2022-03-16,29.792638620412017
2022-03-17,29.87663566534552
2022-03-18,30.40389422444361
2022-03-21,30.284563133326177
2022-03-22,30.780599900783464
2022-03-23,30.317969691131463
2022-03-24,30.79524855946828
2022-03-25,30.752716483204352
2022-03-28,31.46360975806539
2022-03-29,31.940576613427574
2022-03-30,31.783612998611563
2022-03-31,31.22158199069452
2022-04-01,31.333988192275225
2022-04-04,31.89601920019227
2022-04-05,31.48183779075379
2022-04-06,30.32942105742843
2022-04-07,30.518790063691984
2022-04-08,30.073215931298407
2022-04-11,28.89147718640428
2022-04-12,28.567377323128504
2022-04-13,29.13050083556509
2022-04-14,28.34152023091791
2022-04-18,28.414857733246084
2022-04-19,28.90899695000929
2022-04-20,29.018169289542204
2022-04-21,28.49156342900286
2022-04-22,27.801676034320955
2022-04-25,27.38598117164808
2022-04-26,26.35110096931196
2022-04-27,27.67279620111254
2022-04-28,28.29302125664205
2022-04-29,27.10420939544616
2022-05-02,27.78298661978121
2022-05-03,27.520265650938555
2022-05-04,28.321125109870096
2022-05-05,27.08760621154083
2022-05-06,26.83172184782952
2022-05-09,25.840414102935824
2022-05-10,26.320929778292133
2022-05-11,25.446820978607928
2022-05-12,24.93895888270012
2022-05-13,25.50249047758309
2022-05-16,25.53960347689551
2022-05-17,26.05918546732165
2022-05-18,24.81492333234623
2022-05-19,24.725532330521556
2022-05-20,24.668880640742312
2022-05-23,25.459074037888232
2022-05-24,25.358468450860173
2022-05-25,25.641726899782505
2022-05-26,25.97186950575632
2022-05-27,26.688806407496244
2022-05-31,26.55499120921468
2022-06-01,26.63837443528704
2022-06-02,26.898510971782905
2022-06-03,26.531073446318487
2022-06-06,26.40602892626617
2022-06-07,26.804509059425666
2022-06-08,26.606515600243345
2022-06-09,26.09025519754785
2022-06-10,24.935687039821115
2022-06-13,23.89034071298128
2022-06-14,24.110250973815884
2022-06-15,24.82717814702626
2022-06-16,24.157585917841622
2022-06-17,24.421872688713545
2022-06-21,25.022434791172003
2022-06-22,24.962279966463832
2022-06-23,25.52734086090298
2022-06-24,26.399353082712043
2022-06-27,26.121986095358217
2022-06-28,25.292638430047145
2022-06-29,25.66540111434216
2022-06-30,25.32715349341683
2022-07-01,25.59834327695478
2022-07-05,25.92081258319607
2022-07-06,26.254228428844364
2022-07-07,26.491634999753245
2022-07-08,26.43790559160682
2022-07-11,26.128831507501147
2022-07-12,25.067691760375105
2022-07-13,24.973812676638264
2022-07-14,25.108207996510963
2022-07-15,25.40524492825069
2022-07-18,25.160313501949464
2022-07-19,25.695785190238364
2022-07-20,25.98739620696576
2022-07-21,26.252453361347563
2022-07-22,25.80837017504805
2022-07-25,25.671467111004656
2022-07-26,24.98388296553434
2022-07-27,26.41034006973572
2022-07-28,26.992083324781944
2022-07-29,27.464050893698104
2022-08-01,27.196982221825817
2022-08-02,26.884912967895477
2022-08-03,27.633292213225214
2022-08-04,27.74872848897757
2022-08-05,27.67633624825552
2022-08-08,27.42312436962077
2022-08-09,27.61622930371684
2022-08-10,28.28698237296539
2022-08-11,28.09371488529764
2022-08-12,28.572351446473977
2022-08-15,28.722627522896023
2022-08-16,28.648244461885916
2022-08-17,28.512201758180144
2022-08-18,28.39964844216108
2022-08-19,28.00620119833976
2022-08-22,27.214810343881545
2022-08-23,27.086452462502724
2022-08-24,27.022763437392904
2022-08-25,27.3225917709834
2022-08-26,26.26829344766679
2022-08-29,25.98806173719409
2022-08-30,25.766619896048475
2022-08-31,25.61964522272418
2022-09-01,25.51480328908671
2022-09-02,25.089556567608064
2022-09-06,24.814224012918093
2022-09-07,25.288462292171506
2022-09-08,25.330595031858326
2022-09-09,25.949126132807397
2022-09-12,26.16401150764096
2022-09-13,24.72555507148741
2022-09-14,24.74812294189729
2022-09-15,24.078202642337104
2022-09-16,24.01540188558904
2022-09-19,23.99381412545442
2022-09-20,23.790692927844518
2022-09-21,23.44725128937277
2022-09-22,23.651785416328043
2022-09-23,23.351451515701555
2022-09-26,23.308844894331894
2022-09-27,23.206755196751413
2022-09-28,23.66419557244782
